
             , Sta.Nu, Sh.in, Lif.in, LIFT, SWEAT, K index, Tot tot, 
12:00 13 Jun ,  76225,  8.05,  7.12,  6.71,  33.78,  8.30,  34.80,  0.00,  0.00,  0.00,  267.61,  13.62
12:00 14 Jun ,  76225,  4.30,  3.36,  3.39,  19.00,  9.90,  42.20,  0.00,  0.00,  0.00,  265.70,  13.94
12:00 15 Jun ,  76225,  -0.79,  -0.77,  -1.41,  153.40,  27.10,  48.80,  74.52,  -338.56
12:00 16 Jun ,  76225,  0.77,  0.40,  0.19,  162.81,  30.50,  46.20,  0.00,  0.00,  0.00,  281.09,  26.41
12:00 17 Jun ,  76225,  0.11,  0.54,  -0.17,  183.38,  33.50,  45.60,  81.28,  -83.81
12:00 18 Jun ,  76225,  0.30,  0.72,  0.16,  149.99,  32.70,  47.40,  0.00,  0.00,  0.00,  279.16,  22.29
12:00 19 Jun ,  76225,  0.76,  0.18,  -0.34,  161.80,  30.50,  46.20,  24.22,  -325.23
12:00 20 Jun ,  76225,  -1.22,  -1.68,  -2.01,  198.78,  29.30,  48.80,  142.50,  -307.60
12:00 21 Jun ,  76225,  -1.02,  -1.36,  -2.08,  192.61,  30.90,  48.20,  194.94,  -302.02
12:00 22 Jun ,  76225,  0.20,  0.23,  -0.55,  191.40,  30.50,  45.60,  309.75,  -265.29
12:00 23 Jun ,  76225,  1.15,  0.56,  -0.22,  170.58,  33.10,  44.60,  82.56,  -237.27
12:00 24 Jun ,  76225,  -2.67,  -2.70,  -2.99,  209.78,  38.90,  49.20,  433.63,  -18.96
12:00 25 Jun ,  76225,  -2.77,  -3.06,  -3.36,  216.98,  40.40,  49.80,  478.57,  -39.51
12:00 26 Jun ,  76225,  -1.89,  -1.40,  -1.61,  190.58,  35.90,  48.20,  172.20,  -189.3
12:00 27 Jun ,  76225,  -0.70,  -0.92,  -1.23,  191.21,  35.50,  46.80,  87.93,  -173.38
12:00 28 Jun ,  76225,  0.01,  0.97,  0.35,  200.18,  34.90,  43.60,  82.80,  -60.91
12:00 29 Jun ,  76225,  0.24,  0.49,  -0.07,  172.18,  33.50,  45.80,  58.56,  -88.65
12:00 30 Jun ,  76225,  1.62,  1.10,  0.41,  161.59,  34.10,  43.60,  141.99,  -162.80

12:00 01 Jul ,  76225,  3.62,  3.54,  2.90,  156.98,  30.90,  39.40,  0.00,  0.00,  0.00,  282.65,  26.91
00:00 02 Jul ,  76225,  -1.52,  -1.68,  -2.23,  186.39,  37.50,  51.60,  679.30,  -0.94
12:00 02 Jul ,  76225,  1.70,  1.39,  0.78,  182.39,  31.30,  43.20,  69.70,  -217.24
00:00 03 Jul ,  76225,  -0.94,  -0.80,  -1.56,  181.00,  35.90,  50.80,  734.76,  0.00
12:00 03 Jul ,  76225,  0.95,  0.99,  0.33,  172.58,  34.30,  45.00,  0.00,  0.00,  0.00,  282.04,  28.03
00:00 04 Jul ,  76225,  -3.20,  -2.96,  -3.67,  279.80,  41.50,  53.20,  859.37,  -12.66
12:00 04 Jul ,  76225,  -1.34,  -1.39,  -1.71,  184.58,  39.80,  48.20,  200.64,  -130.56
12:00 05 Jul ,  76225,  -1.47,  -1.33,  -1.56,  200.00,  36.10,  46.20,  185.93,  -175.46
12:00 06 Jul ,  76225,  -1.53,  -1.48,  -1.73,  203.78,  36.60,  46.50,  206.62,  -144.02
00:00 07 Jul ,  76225,  0.24,  -0.42,  -0.68,  146.80,  34.90,  47.00,  27.59,  -171.17
12:00 07 Jul ,  76225,  -0.31,  -0.14,  -0.71,  197.98,  35.50,  44.00,  216.59,  -213.90
00:00 08 Jul ,  76225,  -2.56,  -3.41,  -4.27,  251.38,  39.70,  52.00,  1052.75,  -0.34
12:00 08 Jul ,  76225,  0.74,  0.68,  0.18,  205.21,  33.30,  43.00,  7.49,  -138.70
00:00 09 Jul ,  76225,  -2.89,  -2.82,  -3.20,  253.59,  45.50,  51.00,  574.49,  -37.82
12:00 09 Jul ,  76225,  -3.23,  -3.07,  -3.79,  222.60,  40.60,  49.20,  954.81,  -68.71
00:00 10 Jul ,  76225,  -1.75,  -2.06,  -2.52,  190.40,  42.40,  50.20,  1064.79,  -0.53
12:00 10 Jul ,  76225,  -2.24,  -1.92,  -2.17,  205.77,  37.30,  47.40,  487.28,  -125.70
00:00 11 Jul ,  76225,  -3.70,  -3.47,  -3.79,  265.21,  42.70,  51.80,  1156.20,  -68.41
12:00 11 Jul ,  76225,  -1.31,  -0.25,  -0.68,  209.98,  32.10,  45.20,  873.27,  -113.82
12:00 12 Jul ,  76225,  0.30,  0.42,  -0.12,  178.39,  32.70,  46.00,  55.38,  -298.34
12:00 13 Jul ,  76225,  0.44,  0.74,  0.08,  159.00,  30.30,  46.60,  90.23,  -294.50
00:00 14 Jul ,  76225,  -0.96,  -0.43,  -1.10,  154.81,  31.70,  51.60,  52.51,  -54.83
12:00 14 Jul ,  76225,  -0.66,  0.00,  -0.56,  154.18,  31.10,  49.00,  14.58,  -326.81
00:00 15 Jul ,  76225,  -2.38,  -2.28,  -2.61,  205.20,  34.30,  54.40,  217.53,  -12.42
00:00 16 Jul ,  76225,  -0.55,  -1.63,  -2.23,  160.18,  33.70,  50.20,  244.77,  -13.59
12:00 16 Jul ,  76225,  -1.09,  -1.10,  -1.28,  183.80,  32.30,  47.80,  72.57,  -233.69
00:00 17 Jul ,  76225,  -2.26,  -1.57,  -2.13,  237.40,  38.10,  52.80,  398.80,  -2.11
12:00 17 Jul ,  76225,  0.79,  0.88,  0.27,  166.98,  30.90,  45.80,  0.00,  0.00,  0.00,  281.16,  24.33
00:00 18 Jul ,  76225,  -2.23,  -2.45,  -3.12,  229.00,  35.30,  53.60,  251.87,  -0.52
12:00 18 Jul ,  76225,  0.33,  0.14,  -0.32,  182.42,  32.50,  46.60,  14.79,  -264.07
